,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
777,FB,2015-06-23,0.0417367673338,0.0426907236017,0.0422043037506,0.0431769819044,50667900,0.0431769819044,3.139999,81.013,5.168002,2123.159912,2128.030029,2119.889893,2124.199951,3091190000.0,2124.199951
778,FB,2015-06-24,0.0430631501235,0.0433118908507,0.0435437252158,0.0436584750362,41370200,0.0436584750362,0.980004,81.1198,5.478006,2123.649902,2125.100098,2108.580078,2108.580078,3102480000.0,2108.580078
779,FB,2015-06-25,0.0438491523016,0.0433846849152,0.0437379162949,0.043226116604,27302000,0.043226116604,-0.879998,81.2252,3.983008,2109.959961,2116.040039,2101.780029,2102.310059,3214610000.0,2102.310059
780,FB,2015-06-26,0.0432891255409,0.0428702774735,0.0432350128905,0.0432408556382,38214600,0.0432408556382,0.029999,81.3392,3.365007,2102.620117,2108.919922,2095.379883,2101.48999,5025470000.0,2101.48999
781,FB,2015-06-29,0.0425473340757,0.0424626380889,0.0426872935557,0.0421550444173,35957900,0.0421550444173,-2.209999,81.4396,0.646008,2098.629883,2098.629883,2056.639893,2057.639893,3678960000.0,2057.639893
782,FB,2015-06-30,0.0425424200821,0.0420744067991,0.0426076237225,0.0421403019439,23233200,0.0421403019439,-0.030006,81.4932,0.145002,2061.189941,2074.280029,2056.320068,2063.110107,4078540000.0,2063.110107
783,FB,2015-07-01,0.0426259324267,0.0426810159147,0.0430657156778,0.0427004073523,25260000,0.0427004073523,1.140007,81.559,0.773009,2067.0,2082.780029,2067.0,2077.419922,3727260000.0,2077.419922
784,FB,2015-07-02,0.0429354236274,0.042433521822,0.0429910256138,0.0428871065348,16908800,0.0428871065348,0.379997,81.6122,0.715006,2078.030029,2085.060059,2071.02002,2076.780029,2996540000.0,2076.780029
785,FB,2015-07-06,0.0424883823649,0.0427974872913,0.0430159234636,0.0430148500718,24635900,0.0430148500718,0.260002,81.715,0.471008,2073.949951,2078.610107,2058.399902,2068.76001,3486360000.0,2068.76001
786,FB,2015-07-07,0.0431319249088,0.0426324876707,0.0424383299953,0.0428527143086,33059900,0.0428527143086,-0.330002,81.8288,0.106994,2069.52002,2083.73999,2044.02002,2081.340088,4458660000.0,2081.340088
787,FB,2015-07-08,0.0423901334435,0.0420986726196,0.0425478709743,0.0420813462985,24399300,0.0420813462985,-1.569999,81.9036,1.453993,2077.659912,2077.659912,2044.660034,2046.680054,3608780000.0,2046.680054
788,FB,2015-07-09,0.0426062852952,0.0425111658476,0.0426474588881,0.0421943468708,23307400,0.0421943468708,0.229995,82.0076,0.925998,2049.72998,2074.280029,2049.72998,2051.310059,3446810000.0,2051.310059
789,FB,2015-07-10,0.0429108590636,0.0428120454248,0.0432051347737,0.0432113741306,23245900,0.0432113741306,2.07,82.1572,1.147003,2052.73999,2081.310059,2052.73999,2076.620117,3065070000.0,2076.620117
790,FB,2015-07-13,0.0435544020989,0.0437826200097,0.0440267150208,0.0442677072831,29976700,0.0442677072831,2.150001,82.3838,3.088004,2080.030029,2100.669922,2080.030029,2099.600098,3096730000.0,2099.600098
791,FB,2015-07-14,0.0444386531982,0.0440640876099,0.0446391673711,0.0440613549087,26627800,0.0440613549087,-0.419998,82.5976,2.280006,2099.719971,2111.97998,2098.179932,2108.949951,3002120000.0,2108.949951
792,FB,2015-07-15,0.0442126777808,0.044156289769,0.0445246421416,0.0441006612926,30886600,0.0441006612926,0.080002,82.8166,1.961007,2109.01001,2114.139893,2102.48999,2107.399902,3261810000.0,2107.399902
793,FB,2015-07-16,0.0443502278427,0.0440932038768,0.0446989161359,0.0446361954207,21804100,0.0446361954207,1.089996,83.0824,2.657004,2110.550049,2124.419922,2110.550049,2124.290039,3227080000.0,2124.290039
794,FB,2015-07-17,0.0454653717917,0.0462915543411,0.0460781762521,0.046660425064,54001600,0.046660425064,4.120003,83.4198,6.009007,2126.800049,2128.909912,2119.879883,2126.639893,3362750000.0,2126.639893
795,FB,2015-07-20,0.0470865008541,0.0478493260645,0.0474823307326,0.0481049000374,54860500,0.0481049000374,2.940003,83.8094,7.91301,2126.850098,2132.820068,2123.659912,2128.280029,3245870000.0,2128.280029
796,FB,2015-07-21,0.0486093814864,0.0481599099317,0.0483686400117,0.0483407299889,39453300,0.0483407299889,0.479995,84.207,7.276005,2127.550049,2128.48999,2115.399902,2119.209961,3343690000.0,2119.209961
797,FB,2015-07-22,0.0475237151121,0.0473543349674,0.0477611684265,0.0476774523238,28299500,0.0476774523238,-1.349998,84.5876,4.787007,2118.209961,2118.51001,2110.0,2114.149902,3694070000.0,2114.149902
798,FB,2015-07-23,0.0476317910379,0.0472912451929,0.0472084693224,0.0468913447882,29418800,0.0468913447882,-1.599999,84.9472,2.231007,2114.159912,2116.870117,2098.629883,2102.149902,3772810000.0,2102.149902
799,FB,2015-07-24,0.0478233788171,0.04744168668,0.0477412508437,0.047633231782,33444900,0.047633231782,1.509995,85.3174,2.841002,2102.23999,2106.01001,2077.090088,2079.649902,3870040000.0,2079.649902
800,FB,2015-07-27,0.0474451167611,0.0468836058084,0.0467205027358,0.0462673695766,38585400,0.0462673695766,-2.779999,85.5734,0.345997,2078.189941,2078.189941,2063.52002,2067.639893,3836750000.0,2067.639893
801,FB,2015-07-28,0.0465903353765,0.0463740526955,0.0464615786413,0.0468176466694,35236000,0.0468176466694,1.120003,85.8708,0.213006,2070.75,2095.600098,2069.090088,2093.25,4117740000.0,2093.25
802,FB,2015-07-29,0.047317390265,0.0472087473238,0.047173614424,0.047652884974,64648300,0.047652884974,1.699997,86.193,1.190003,2094.699951,2110.600098,2094.080078,2108.570068,4038900000.0,2108.570068
803,FB,2015-07-30,0.0466247269447,0.0464953745186,0.0457097111786,0.0467783402854,86211300,0.0467783402854,-1.779999,86.4846,1.025996,2106.780029,2110.47998,2094.969971,2108.629883,3579410000.0,2108.629883
804,FB,2015-07-31,0.046644373585,0.0467477258518,0.0467802515007,0.0461887607391,46509000,0.0461887607391,-1.199997,86.7538,2.129993,2111.600098,2114.23999,2102.070068,2103.840088,3681340000.0,2103.840088
805,FB,2015-08-03,0.0459467967625,0.0461411167363,0.0462076382994,0.0462526305424,29343100,0.0462526305424,0.129997,87.027,1.622996,2104.48999,2105.699951,2087.310059,2098.040039,3476770000.0,2098.040039
806,FB,2015-08-04,0.0460745232586,0.0459712666692,0.0464715391754,0.0462133246497,20136000,0.0462133246497,-0.080001,87.2974,1.269997,2097.679932,2102.51001,2088.600098,2093.320068,3546710000.0,2093.320068
807,FB,2015-08-05,0.0467917506514,0.0471165412823,0.047392703353,0.047382662305,29813200,0.047382662305,2.380004,87.6396,1.170007,2095.27002,2112.659912,2095.27002,2099.840088,3968680000.0,2099.840088
808,FB,2015-08-06,0.0477398669638,0.0479172662855,0.0470142777453,0.0467341236741,42271300,0.0467341236741,-1.319999,87.931,0.117992,2100.75,2103.320068,2075.530029,2083.560059,4246570000.0,2083.560059
809,FB,2015-08-07,0.0468556119344,0.0462964086698,0.0466109582713,0.0463312433103,23199100,0.0463312433103,-0.82,88.214,0.672993,2082.610107,2082.610107,2067.909912,2077.570068,3602320000.0,2077.570068
810,FB,2015-08-10,0.0470029890008,0.0465390523161,0.046620914822,0.0462575451915,21624200,0.0462575451915,-0.150001,88.5132,0.820994,2080.97998,2105.350098,2080.97998,2104.179932,3514460000.0,2104.179932
811,FB,2015-08-11,0.0460450491226,0.0459858248027,0.0462574305135,0.0459971473989,22491000,0.0459971473989,-0.529999,88.7798,1.183993,2102.659912,2102.659912,2076.48999,2084.070068,3708880000.0,2084.070068
812,FB,2015-08-12,0.0455390566405,0.0458305328691,0.045405975137,0.0462771978922,27050500,0.0462771978922,0.569999,89.0548,0.333994,2081.100098,2089.060059,2052.090088,2086.050049,4269130000.0,2086.050049
813,FB,2015-08-13,0.0462022497547,0.0459712666692,0.0464814957261,0.0459037955968,17451800,0.0459037955968,-0.760002,89.2746,0.915996,2086.189941,2092.929932,2078.26001,2083.389893,3221300000.0,2083.389893
814,FB,2015-08-14,0.0459517102648,0.0459664128257,0.0464117864271,0.0463901989558,15929700,0.0463901989558,0.989998,89.522,0.033002,2083.149902,2092.449951,2080.610107,2091.540039,2795590000.0,2091.540039
815,FB,2015-08-17,0.0463840105293,0.0458402371591,0.0465014133089,0.0461494543552,18313500,0.0461494543552,-0.489998,89.7578,0.435996,2089.699951,2102.870117,2079.300049,2102.439941,2867690000.0,2102.439941
816,FB,2015-08-18,0.0462169868227,0.0465147860103,0.0468250669332,0.0467586870934,22278800,0.0467586870934,1.239998,90.0478,0.693002,2101.98999,2103.469971,2094.139893,2096.919922,2949990000.0,2096.919922
817,FB,2015-08-19,0.0464871729529,0.0466361078334,0.0468848196815,0.0468274715457,23251300,0.0468274715457,0.14,90.3406,0.946002,2095.689941,2096.169922,2070.530029,2079.610107,3512920000.0,2079.610107
818,FB,2015-08-20,0.0459517102648,0.0459906752492,0.0450424868451,0.0444937133408,44598200,0.0444937133408,-4.75,90.5086,3.347997,2076.610107,2076.610107,2035.72998,2035.72998,3922470000.0,2035.72998
819,FB,2015-08-21,0.0429943714082,0.0432779207403,0.0426275413053,0.0422827845151,62778700,0.0422827845151,-4.5,90.5932,7.023996,2034.079956,2034.079956,1970.890015,1970.890015,5018240000.0,1970.890015
820,FB,2015-08-24,0.0378411391694,0.0398372318957,0.035850752694,0.0403322529907,83710700,0.0403322529907,-3.970002,90.6044,9.787997,1965.150024,1965.150024,1867.01001,1893.209961,6612690000.0,1893.209961
821,FB,2015-08-25,0.0427143577823,0.0425451359581,0.0413279510222,0.0407793538963,52021200,0.0407793538963,0.910004,90.6502,7.815993,1898.079956,1948.040039,1867.079956,1867.609985,5183560000.0,1867.609985
822,FB,2015-08-26,0.0422231058069,0.042443226112,0.0414574130695,0.0428379752744,45124300,0.0428379752744,4.190002,90.7728,2.925991,1872.75,1943.089966,1872.75,1940.51001,5338250000.0,1940.51001
823,FB,2015-08-27,0.0437705500205,0.043704972587,0.043414266654,0.0440859222585,42431400,0.0440859222585,2.540001,90.9316,0.01599,1942.77002,1989.599976,1942.77002,1987.660034,5006390000.0,1987.660034
824,FB,2015-08-28,0.04415372607,0.0443940829687,0.04470887667,0.0447148081887,33215900,0.0447148081887,1.279999,91.0936,1.605009,1986.060059,1993.47998,1975.189941,1988.869995,3949080000.0,1988.869995
825,FB,2015-08-31,0.0445074279835,0.044185409433,0.0442607412655,0.0439385255295,32850700,0.0439385255295,-1.580002,91.232,0.475007,1986.72998,1986.72998,1965.97998,1972.180054,3915100000.0,1972.180054
826,FB,2015-09-01,0.042665233076,0.0433798305864,0.0430706959448,0.0428576284664,36097400,0.0428576284664,-2.199997,91.2818,0.930991,1970.089966,1970.089966,1903.069946,1913.849976,4371850000.0,1913.849976
827,FB,2015-09-02,0.0436280869476,0.0436224742326,0.0436333520975,0.0441645310959,27190500,0.0441645310959,2.659996,91.322,2.271005,1916.52002,1948.910034,1916.52002,1948.859985,3742620000.0,1948.859985
828,FB,2015-09-03,0.0440947782892,0.0435885046074,0.0436831477971,0.0433096400906,27048200,0.0433096400906,-1.739997,91.3078,0.772008,1950.790039,1975.01001,1944.719971,1951.130005,3520700000.0,1951.130005
829,FB,2015-09-04,0.0428371707761,0.0428945432939,0.0431702798752,0.0433636850174,27328700,0.0433636850174,0.11,91.3134,0.662008,1947.76001,1947.76001,1911.209961,1921.219971,3167090000.0,1921.219971
830,FB,2015-09-08,0.044060390651,0.0437923242997,0.044230867132,0.0439876567898,27012500,0.0439876567898,1.269997,91.3438,1.188005,1927.300049,1970.420044,1927.300049,1969.410034,3548650000.0,1969.410034
831,FB,2015-09-09,0.0445958538303,0.044636726615,0.0448980874821,0.0444347572041,32551100,0.0444347572041,0.910003,91.4366,1.354008,1971.449951,1988.630005,1937.880005,1942.040039,3652120000.0,1942.040039
832,FB,2015-09-10,0.0442470654191,0.0446755471719,0.044629206339,0.0451913866713,26437400,0.0451913866713,1.540001,91.5608,2.415009,1941.589966,1965.290039,1937.189941,1952.290039,3626320000.0,1952.290039
833,FB,2015-09-11,0.0450379810994,0.0446852548589,0.0453760970201,0.0452257788975,21185000,0.0452257788975,0.07,91.6636,2.253009,1951.449951,1961.050049,1939.189941,1961.050049,3218590000.0,1961.050049
834,FB,2015-09-14,0.0453474688613,0.0449473104821,0.0456101232648,0.0453535189953,20127900,0.0453535189953,0.259995,91.764,2.383004,1963.060059,1963.060059,1948.27002,1953.030029,3000200000.0,1953.030029
835,FB,2015-09-15,0.0453769464361,0.0452530400205,0.0457047309115,0.0456433982955,18859400,0.0456433982955,0.590004,91.871,2.626008,1955.099976,1983.189941,1954.300049,1978.089966,3239860000.0,1978.089966
